url,response,score
https://www.nytimes.com/2022/01/31/technology/joe-rogan-spotify-controversy.html,"{'col3': ['https://www.nytimes.com/2022/01/31/technology/joe-rogan-spotify-controversy.html'], 'col2': {'abc': 'https://www.nytimes.com/2022/01/31/technology/joe-rogan-spotify-controversy.html', 'cde': 'https://www.nytimes.com/2022/01/31/technology/joe-rogan-spotify-controversy.html'}}",
https://www.washingtonpost.com/world/2022/01/31/ukraine-russia-putin-nato/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,"{'col3': ['https://www.washingtonpost.com/world/2022/01/31/ukraine-russia-putin-nato/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'], 'col2': {'abc': 'https://www.washingtonpost.com/world/2022/01/31/ukraine-russia-putin-nato/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'cde': 'https://www.washingtonpost.com/world/2022/01/31/ukraine-russia-putin-nato/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'}}",
https://www.washingtonpost.com/world/2022/01/31/ukraine-russia-putin-nato/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,"{'col3': ['https://www.washingtonpost.com/world/2022/01/31/ukraine-russia-putin-nato/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'], 'col2': {'abc': 'https://www.washingtonpost.com/world/2022/01/31/ukraine-russia-putin-nato/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'cde': 'https://www.washingtonpost.com/world/2022/01/31/ukraine-russia-putin-nato/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'}}",
https://www.washingtonpost.com/world/2022/01/31/lunar-new-year-chinese-tiger/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,"{'col3': ['https://www.washingtonpost.com/world/2022/01/31/lunar-new-year-chinese-tiger/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'], 'col2': {'abc': 'https://www.washingtonpost.com/world/2022/01/31/lunar-new-year-chinese-tiger/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'cde': 'https://www.washingtonpost.com/world/2022/01/31/lunar-new-year-chinese-tiger/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'}}",
https://www.washingtonpost.com/world/2022/01/29/north-korea-missile-launch-intermediate-ballistic/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world,"{'col3': ['https://www.washingtonpost.com/world/2022/01/29/north-korea-missile-launch-intermediate-ballistic/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'], 'col2': {'abc': 'https://www.washingtonpost.com/world/2022/01/29/north-korea-missile-launch-intermediate-ballistic/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world', 'cde': 'https://www.washingtonpost.com/world/2022/01/29/north-korea-missile-launch-intermediate-ballistic/?utm_source=rss&utm_medium=referral&utm_campaign=wp_world'}}",
https://www.npr.org/2022/01/30/1076821209/u-s-russia-ukraine-crisis-u-n-security-council,"{'col3': ['https://www.npr.org/2022/01/30/1076821209/u-s-russia-ukraine-crisis-u-n-security-council'], 'col2': {'abc': 'https://www.npr.org/2022/01/30/1076821209/u-s-russia-ukraine-crisis-u-n-security-council', 'cde': 'https://www.npr.org/2022/01/30/1076821209/u-s-russia-ukraine-crisis-u-n-security-council'}}",
https://www.npr.org/2022/01/28/1076519056/ukraine-zelenskyy-russia-invasion,"{'col3': ['https://www.npr.org/2022/01/28/1076519056/ukraine-zelenskyy-russia-invasion'], 'col2': {'abc': 'https://www.npr.org/2022/01/28/1076519056/ukraine-zelenskyy-russia-invasion', 'cde': 'https://www.npr.org/2022/01/28/1076519056/ukraine-zelenskyy-russia-invasion'}}",
https://www.reutersagency.com/en/reuters-best/reuters-reveals-siemens-energy-weighing-purchase-of-remaining-siemens-gamesa-stake-market-reacts/,"{'col3': ['https://www.reutersagency.com/en/reuters-best/reuters-reveals-siemens-energy-weighing-purchase-of-remaining-siemens-gamesa-stake-market-reacts/'], 'col2': {'abc': 'https://www.reutersagency.com/en/reuters-best/reuters-reveals-siemens-energy-weighing-purchase-of-remaining-siemens-gamesa-stake-market-reacts/', 'cde': 'https://www.reutersagency.com/en/reuters-best/reuters-reveals-siemens-energy-weighing-purchase-of-remaining-siemens-gamesa-stake-market-reacts/'}}",
https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-biden-weighing-cuts-to-2022-ethanol-blending-mandate-proposal/,"{'col3': ['https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-biden-weighing-cuts-to-2022-ethanol-blending-mandate-proposal/'], 'col2': {'abc': 'https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-biden-weighing-cuts-to-2022-ethanol-blending-mandate-proposal/', 'cde': 'https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-biden-weighing-cuts-to-2022-ethanol-blending-mandate-proposal/'}}",
https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-walmart-halves-paid-leave-for-covid-positive-workers/,"{'col3': ['https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-walmart-halves-paid-leave-for-covid-positive-workers/'], 'col2': {'abc': 'https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-walmart-halves-paid-leave-for-covid-positive-workers/', 'cde': 'https://www.reutersagency.com/en/reuters-best/reuters-exclusively-reveals-walmart-halves-paid-leave-for-covid-positive-workers/'}}",
https://apnews.com/article/california-death-row-closed-prisons-gavin-newsom-d59ae606239abadb2dfa03be71e54649,"{'col3': ['https://apnews.com/article/california-death-row-closed-prisons-gavin-newsom-d59ae606239abadb2dfa03be71e54649'], 'col2': {'abc': 'https://apnews.com/article/california-death-row-closed-prisons-gavin-newsom-d59ae606239abadb2dfa03be71e54649', 'cde': 'https://apnews.com/article/california-death-row-closed-prisons-gavin-newsom-d59ae606239abadb2dfa03be71e54649'}}",
https://apnews.com/article/ahmaud-arbery-crime-race-and-ethnicity-hate-crimes-savannah-4843bf04cf74034b2f396a844599f899,"{'col3': ['https://apnews.com/article/ahmaud-arbery-crime-race-and-ethnicity-hate-crimes-savannah-4843bf04cf74034b2f396a844599f899'], 'col2': {'abc': 'https://apnews.com/article/ahmaud-arbery-crime-race-and-ethnicity-hate-crimes-savannah-4843bf04cf74034b2f396a844599f899', 'cde': 'https://apnews.com/article/ahmaud-arbery-crime-race-and-ethnicity-hate-crimes-savannah-4843bf04cf74034b2f396a844599f899'}}",
https://apnews.com/article/cincinnati-bengals-carolina-panthers-denver-broncos-los-angeles-rams-nfl-acba9166aacfb7d284e4fbfa37282b5d,"{'col3': ['https://apnews.com/article/cincinnati-bengals-carolina-panthers-denver-broncos-los-angeles-rams-nfl-acba9166aacfb7d284e4fbfa37282b5d'], 'col2': {'abc': 'https://apnews.com/article/cincinnati-bengals-carolina-panthers-denver-broncos-los-angeles-rams-nfl-acba9166aacfb7d284e4fbfa37282b5d', 'cde': 'https://apnews.com/article/cincinnati-bengals-carolina-panthers-denver-broncos-los-angeles-rams-nfl-acba9166aacfb7d284e4fbfa37282b5d'}}",
https://www.dailykos.com/stories/2022/1/29/2077218/-Connect-Unite-Act-What-makes-for-vulnerability-and-courage,"{'col3': ['https://www.dailykos.com/stories/2022/1/29/2077218/-Connect-Unite-Act-What-makes-for-vulnerability-and-courage'], 'col2': {'abc': 'https://www.dailykos.com/stories/2022/1/29/2077218/-Connect-Unite-Act-What-makes-for-vulnerability-and-courage', 'cde': 'https://www.dailykos.com/stories/2022/1/29/2077218/-Connect-Unite-Act-What-makes-for-vulnerability-and-courage'}}",
https://www.newsmax.com/newsfront/bridgerton-actress-nicola-coughlan-body/2022/01/31/id/1054770,"{'col3': ['https://www.newsmax.com/newsfront/bridgerton-actress-nicola-coughlan-body/2022/01/31/id/1054770'], 'col2': {'abc': 'https://www.newsmax.com/newsfront/bridgerton-actress-nicola-coughlan-body/2022/01/31/id/1054770', 'cde': 'https://www.newsmax.com/newsfront/bridgerton-actress-nicola-coughlan-body/2022/01/31/id/1054770'}}",
